Azienda in cui i politici hanno investito;Numero politici che hanno investito
gp strategia valore azioni più - eurizon capital;1
deutsche telekom tlx;1
banca popolare di bari;1
seven service srl;1
ancora srl;1
ri.ge. soc srl;1
isem srl;1
mode 2000 srl;1
centro horus srl;1
margherita srl;2
imeco srl;1
gruppo ranucci srl;1
cnh industrial nv;1
internova spa;1
ferragamo;2
w. cred. valtellinese  giugno 2014;1
bca pop milano;1
convention bureau lucca e valle del serchio scrl;1
trade promotion sas di (illegibile);1
noema srl;1
eurizon equity euro;2
luxottica;2
banco popolare;5
seat pagine gialle spa;1
banca popolare di puglia e basilicata;1
comune di pollina ;1
in.cosa srl;1
euronove srl;1
syngenta;1
carvigi srl unipersonale;1
r & c immobiliare srl;1
fondiaria sai;2
campari;3
danieli & c risp port ncv;1
sampo insurance eur (samas fh);1
nikenny corporation srl ;1
coop consumatori nordest;1
banca pop milano spa;1
porto salvo due srl;1
henkel ag&co kgaa pref eur (hen3 gy);1
intel corp. $ (intcus);1
er.ma.do srl;1
expo live srl;1
intesa san paolo;6
novelli 1934 spa;1
mittel spa;1
eni spa;3
associazione meseuro;1
credito v.se;1
edil pan srl;1
fb di nastri gaetano e c. sas;1
isp tvmm nov 10-17;1
kilometro rosso spa;1
abbvie inc (abbv us);1
fusilli assicurazioni srl;1
total sa-b (fp fp) eur;1
parma bet srl;1
banca di credito cooperativo calcio e covo;1
atlantia dir cond;1
telecom italia risparmio;2
total sa - eu cal;1
la balera sas;1
franica d.o.o.;1
snia spa;1
inter-ware srl;1
fiat;2
sea tuscia srl;1
telecom italia media spa;1
anzola srl;1
ethos ambiente srl;1
tenaris sa (ten im) eur;1
usg people nv eur (usg na);1
centro europa ricerche (cer);1
cassa di risparmio di ferrara spa;1
investimenti e partecipazioni spa;1
errenova spa con socio unico;1
aura srl;1
cassa risparmio ferrara;4
A.s.a srl;1
telecom it ris;1
mandarin wi-max sicilia spa;1
unicredit 15 tv tlx;2
unipol privilegiate;1
banco popolare s.c.;1
barclays pll bp;1
arenaria;1
seat ord;1
immobilsesto srl;1
Banca Etruria;2
prysmian spa ord eur;2
costruzioni generali arl;1
sviluppo 12 sas di paolo romani e c;1
eusena spa;1
deutsche telekom reg (dte gr);1
dani comunicazione srl;1
anima sicav euro corporate bonds;2
bca pop di sondrio ;1
adr concilia ex legis;1
merk & co (mrk us) usd;1
facom srl;1
next srl;1
sanofi (san rp) eur;1
henkel ag & co kgaa pref. eur;1
aryzta ag (aryn vx);1
banca dell'aquila;1
industria imballaggi f.lli mandelli snc;1
telecom italia;4
sat;1
cisfi spa ;1
fungo puglia scarl;1
scam charter sas;1
btp;2
tuppini nicoletta & c. sas;1
endesa sa eur (ele sm);1
indesit company spa;1
google inc cl c usd (goog us);1
garden ventures srl;1
banca di bologna;1
immobiliare stefano srl;1
arch;2
leg service srl;2
enel ord eur;1
qiagen nv eur - xetra (qia gb);1
confetti pelino srl;1
ziggo nv (ziggo na);1
ducati energia investimentos l.tda;1
bcc valdarno;2
mps;1
nodalis spa;1
azienda capizucchi soc. agricola semplice ;1
kreacontact srl;1
chesa colani investment circie srl;1
country club srl;1
diageo;2
volkswagen ag - preference sha;1
bertolotta srl;1
monester srl;2
mitica di josefa idem e (coperto) snc;1
gruppo ranucci finanziaria e partecipazioni srl;1
regalbesi soc. agricola (?) a.s.;1
nike sas ;1
aig;1
l.e.jerette s.s.;2
koninklijke philips n.v.;1
cimp srl badia;1
centro di ricerca sull'economia mondiale (cerem) srl;1
caffè caruso;1
deere & co $;1
instrumentum srl;2
ubi banca;4
dvs srl società di revisione;2
pirelli & co rsp;1
sap s.e.;1
millecucchita immobiliare;1
banca di credito cooperativo vicentino;1
banca cr coop alto reno scrl;1
ubi banca ablp;1
sap ag (sap gr) eur;1
banca popolare di mantova;1
euroholding;1
tel. it media;1
immobiliare costruzioni spa;1
vaeva s.s;1
bayer ag eur (bayn gr);2
valle frida snc;2
bioanalisi sas;1
microventures sa;1
telecom;1
planet snc di puppato laura e c.;2
ass generali;1
autogrill;2
cementing holding ord;1
albatros srl;1
nordea bank fdr eur;2
coop pescatori lago di varese;1
ubi prote cresc 17r;2
mvh spa;1
ntv spa;1
societé generale s.a.;1
celgene corporation (celg us - new);1
da.da srl;1
bcc (illegibile);1
telecom it.;1
sigima srl;1
società agricola mos srl;1
arethium srl;1
Ite spa;1
banca di piacenza scrl;1
valfiorita srl;1
mesit srl;1
mp&s srl;1
sorin spa;1
banca popolare etruria lazio;1
cad it spa;1
shire plc gbp;1
aapl;1
telstra aus;2
mediterranea yachting srl;1
palombaro energia srl;1
mediolanum spa;3
ubi banca 2013 cv;1
ses global sa eur;2
atlantia ord;1
atlantia ord eur;1
safeway inc. new (swy us) $;1
shoneben spa;1
predelta srl;1
agco corp (agco us) $;1
prelios;1
banco popolare scrl;1
foli 2000 srl;1
edilmil srl;1
cassa sovv.ni e risparmio tra il personele della banca d'italia;1
unilever nv nlg eur;2
bapr;1
nastri e miragliotta srl;1
sa costeddu srl uninom;1
società toscana di edizioni srl;1
Anima Pacifico classe A;2
brunello cucinelli;1
c di casa srl;1
alouette s.s.;2
banca popolare cv 4.75% 2010-2014;1
balca popolare dell'alto agide;1
carim sas;1
compagnia immobiliare srl;1
unicredit milano;1
sogefi (francia);1
banca del credito cooperativo del trigno;1
albachiara sas;1
sq petrol sas ;1
banca di credito cooperativo di napoli;2
fissore giuseppe e mellano maria;1
filzi 83 srl;1
nolese manifattrure srl;2
Centro sport. Petrarca spa;1
montartino srl (grafia incerta);1
eutekne spa;2
immobiliare dani srl;1
hitech spa;1
casarossa srl;1
avon products inl-du;1
icaro soc. coop;1
pagio s.s.;1
axa s.a.;1
cassa rurale lagundo spa;1
finbo sas di a. bombassei;1
siemens ag reg (sie gr);1
madio banca;1
bcc frascati;1
banca popolare vicenza;1
